"SEQN","SDDSRVYR","RIDSTATR","WTINT2YR","WTMEC2YR","SDMVPSU","SDMVSTRA","RIAGENDR","RIDAGEYR","RIDRETH3","DMDEDUC2","DMDMARTL","INDFMPIR","age_cluster","FIPR_cluster"
86262,9,2,38424.914758,38497.998822,2,127,2,31,4,5,5,5,1,3
86268,9,2,15940.753189,16198.916391,1,124,2,57,2,4,1,1.06,2,1
86273,9,2,17309.35911,16901.948131,2,131,2,73,4,4,1,2.18,3,2
86275,9,2,49593.637394,49590.821804,1,129,1,20,4,4,5,5,1,3
86276,9,2,9806.709122,9630.94732,1,127,1,68,1,4,1,1.76,3,2
86277,9,2,7392.299151,7178.22428,2,122,2,65,1,4,3,2.08,3,2
86278,9,2,44045.452245,49005.565618,1,132,1,22,2,1,5,0.89,1,1
86279,9,2,38512.163171,39488.27774,1,131,2,35,3,4,4,1.05,1,1
86281,9,2,20577.77898,19915.553745,2,121,1,26,6,5,5,2.69,1,2
86282,9,2,21914.036865,23219.518074,2,122,2,51,6,4,1,1.58,2,2
86284,9,2,35372.791829,39757.552328,2,127,1,46,1,4,1,1.05,2,1
86290,9,2,71430.375915,72127.259311,1,126,2,29,3,4,6,1,1,1
86291,9,2,102192.105557,100398.53141,2,131,2,60,3,5,1,2.18,2,2
86293,9,2,21208.387626,24119.851824,2,130,2,40,1,5,1,2,2,2
86296,9,2,144416.962207,145628.596487,2,125,1,40,3,1,1,2.98,2,2
86297,9,2,51930.025299,53363.748451,1,130,2,35,3,4,6,1.7,1,2
86298,9,2,175862.391037,182355.646731,1,126,2,50,3,4,1,5,2,3
86299,9,2,38173.249812,38773.485362,1,129,1,41,1,1,1,0,2,1
86300,9,2,25772.41075,26172.194574,1,123,2,59,4,3,1,5,2,3
86301,9,2,28601.271031,28599.647244,2,130,1,26,4,2,5,1.22,1,1
86308,9,2,24043.2177,27277.758336,1,126,2,22,2,2,6,0.2,1,1
86310,9,1,16942.984599,0,2,119,2,80,4,5,3,5,3,3
86312,9,2,15697.627408,15652.041395,1,123,1,58,4,5,3,5,2,3
86315,9,2,14026.929433,13372.387646,1,128,2,80,1,1,1,0.63,3,1
86317,9,1,36527.136094,0,1,133,1,80,3,1,1,1.51,3,2
86318,9,2,34150.426133,46882.488409,1,133,1,63,3,5,5,0.92,2,1
86319,9,2,94016.54713,94677.38508,1,125,2,55,3,4,3,0.93,2,1
86320,9,2,9407.598902,9508.886305,1,127,1,80,2,1,1,0.38,3,1
86321,9,2,20092.973368,20313.581053,2,124,2,25,6,4,6,1.07,1,1
86322,9,2,21990.382424,23002.596593,2,120,2,39,2,4,3,1.37,1,2
86324,9,2,76561.642643,77479.222104,1,130,2,29,3,5,1,2.81,1,2
86325,9,2,8225.112294,8513.230786,2,119,1,60,2,5,3,0.1,2,1
86328,9,2,11575.727061,16421.027783,1,133,1,75,4,5,1,5,3,3
86332,9,2,22489.813027,22482.964386,2,126,2,34,4,4,5,0.05,1,1
86333,9,2,16953.911833,18514.883991,2,133,1,23,7,5,5,3.11,1,2
